fid,name,ref,attendgru,function
34413807,close,notifies all views to de register from their view controllers,closes the <UNK>,"

 public void close(){
		Tabpanel tempPanel = null;
		View tempView = null;
		List<?> list;
		Enumeration<Tabbox> tabs = primaryTabMap.keys();
		while (tabs.hasMoreElements())
		{
			list = tabs.nextElement().getTabpanels().getChildren();
			Iterator<?> itr = list.iterator();
			while(itr.hasNext()){
				tempPanel = (Tabpanel)itr.next();
				tempView = (View)tempPanel.getChildren().get(0);
				tempView.deregisterView();
			}
		}
	} 
"
34413808,init,method to handle initialisation tasks,initializes the internal data structures,"

 private void init() {
		_innerData = Collections.synchronizedMap(new LinkedHashMap<String,Object>());
		Iterator<Entry<String,Object>> itr = _srcModel.entrySet().iterator();
		while(itr.hasNext()){
			Entry<String, Object> entry = itr.next();
			_innerData.put(entry.getKey(), entry.getValue());
		}
		
		_srcListener = new ListDataListener(){
			public void onChange(ListDataEvent event) {
				onListDataChange(event);
			}
		};
		
		_srcModel.addListDataListener(_srcListener);
	} 
"
19412370,fileInfoGenerated,called when file status information has been received,called when a file info has been received,"

 public void fileInfoGenerated(FileInfoEvent e) {
//      FileInfoContainer fileInfo = e.getInfoContainer();
//        if (fileInfo.getClass().equals(StatusInformation.class)) {
//          System.err.println(""""A file status event was received."""");
//          System.err.println(""""The status information object is: """" +
//                             fileInfo);
//        }
    } 
"
19413001,messageSent,listens for output of the command,this method is called when the user has been sent,"

 public void messageSent(MessageEvent e) {
        String str = e.getMessage();
        if (str.endsWith(DIR_ADDED)) {
            str = str.substring(DIRECTORY.length(), str.indexOf(DIR_ADDED)).trim();
            createCvsFiles(str);
        }
        super.messageSent(e);
    } 
"
4627680,updateSchema,update an already existent user schema,updates the schema to the specified schema,"

 public void updateSchema(String kind, SchemaTO schemaTO) {
        try {
            restTemplate.postForObject(baseURL
                    + """"schema/"""" + kind + """"/update"""", schemaTO, SchemaTO.class);
        } catch (SyncopeClientCompositeErrorException e) {
            LOG.error(""""While updating a user schema"""", e);
        }
    } 
"
15689897,getAll,returns all the values associated with the given key,returns a list of all the values in the map,"

 public List getAll(Object key) {
        Object value = mMap.get(key);
        if (value instanceof List) {
            return ((List)value);
        }
        else {
            List list = new ArrayList();
            if (value != null || mMap.containsKey(key)) {
                list.add(value);
            }
            mMap.put(key, list);
            return list;
        }
    } 
"
4114383,add,adds a date to the list keeping the list sorted,adds a date to the list of dates,"

 public boolean add(Date date) {
	if (dates.contains(date)) 
	    return false; 
	
	boolean added = false;
	for (int i=0; i < dates.size() && !added; i++) {
	    Date nextDate = dates.get(i);
	    if (date.before(nextDate)) {
		dates.add(i, date);
		added = true;
	    }
	}
	if (!added) {
	    dates.add(date);
	}
	return true;
    } 
"
29318894,getTargetServiceName,can be overridden by subclasses to customize how the wsa to header is,returns the target service name,"

 protected String getTargetServiceName(AddressingHeaders headers) throws Exception {
    To toURI = headers.getTo();
    if (toURI == null) {
      return null;
    }
    String to = toURI.getPath();
    if (to == null) {
      return null;
    }
    // set the target service
    return (to.substring(to.lastIndexOf('/') + 1));
  } 
"
22407318,jbInit,add compononents to the page,initialize the applet,"

 private void jbInit() throws Exception {
        setLayout(new GridBagLayout());

        add(m_environmentpanel,
            new GridBagConstraints(0, 0, 1, 1, 1.0, 1.0,
                                   GridBagConstraints.CENTER,
                                   GridBagConstraints.HORIZONTAL,
                                   new Insets(0, 0, 0, 0), 0, 0));
    } 
"
22407577,setTargetMap,modifiactor for the target map from the current configured settings,set the target map for the target map,"

 public AntTargetMap setTargetMap() {
        AntTargetMap targetMap = null;
        String strDefaultTarget = null;
        targetMap = m_buildfile.getTargetMap();
        strDefaultTarget = m_buildfile.getDefaultTarget();

        if (m_bSelectWithDescription) {
            targetMap.selectWithDescription();

        }
        setTargetMap(targetMap);

        return m_targetMap;
    } 
"
1412807,capitalizeString,capitalizes the first letter of each word,<UNK> the first letter of the given string,"

 public String capitalizeString(String s) {
        String result = """""""";
        
        for(int i = 0; i < s.length(); i++) {
            if(i == 0 || s.substring(i-1, i).equals("""" """"))
                result += s.substring(i, i + 1).toUpperCase();
            else
                result += s.substring(i, i + 1);
                
        }
        
        return result;
    } 
"
48714932,getRootElement,returns a reference for the root element from the,returns the root element of the document,"

 protected Element getRootElement() {
        Assert.notNull(resource, """"resource cannot be null"""");
        Document document = xmlDefinitionLoader.loadDocument(resource, new ClassPathResource(""""org/impalaframework/module/source/moduledefinition.xsd"""", this.getClass().getClassLoader()));

        Element root = document.getDocumentElement();
        return root;
    } 
"
48714949,repairModules,attempts to repair any modules which are in an error state,<UNK> the module,"

 public void repairModules() {
        RootModuleDefinition rootModuleDefinition = getModuleStateHolder().getRootModuleDefinition();
        ModuleOperation operation = facade.getModuleOperationRegistry().getOperation(
                ModuleOperationConstants.RepairModuleOperation);
        ConstructedModuleDefinitionSource newModuleDefinitionSource = new ConstructedModuleDefinitionSource(
                rootModuleDefinition);

        ModuleOperationInput input = new ModuleOperationInput(newModuleDefinitionSource, null, null);
        execute(operation, input);
    } 
"
18123253,setSelectedScript,sets the selected existing script,sets the selected script,"

 public void setSelectedScript(Object script) {
		selectedScript = script;

		// expand to and select the specified container
		List itemsToExpand = new ArrayList();
		IContainer parent = project.getParent();
		while (parent != null) {
			itemsToExpand.add(0, parent);
			parent = parent.getParent();
		}
		treeViewer.setExpandedElements(itemsToExpand.toArray());
		treeViewer.setSelection(new StructuredSelection(project), true);
	} 
"
38737384,setSecurityMode,public method to set the security level,set the security mode for the security,"

 public int setSecurityMode(int level,String authToken) throws RemoteException {
        if(!this.authToken.equals(authToken)){
            throw new RemoteException(""""Invalid Login Token"""");
        }
        serverSettingBean.setSecureMode(""""""""+level);
        serverSettingBean.updateSettings();
        securityMode=level;
        return securityMode;
    } 
"
50994916,setPhoto,set the jdai photo to display,set the photo to be displayed in the panel,"

 public void setPhoto(JdaiPhoto photo) {
		String text = null;
		if (photo != null) {
			label.setText("""""""");
			try {
				text = photo.getSection().getInfoStore().getCaption(photo);
			} catch (JdaiReadException e) {
				JdaiGuiHelpers.reportException(""""Unable to read caption"""", e);
			}
			if (text == null || text.equals(""""""""))
				text = """"No caption set"""";
		} else {
			label.setIcon(null);
		}
		label.setToolTipText(text);
		setNewPhoto(photo);
	} 
"
50995324,createCacheFile,write the scaled and rotated cache file for a photo,creates a cache file for the given photo,"

 protected void createCacheFile(Photo photo, File photoCacheFile, PhotoDimension dimension) throws IOException {
    OutputStream photoOS = new BufferedOutputStream(new FileOutputStream(photoCacheFile));
    PhotoHelper.getInstance().writeUncachedThumbnail(photo, photoOS);
    photoOS.close();
  } 
"
14477536,go,shake hands with the server,sends a message to the server,"

 public void go(String theUserName) {
		try {
			new ChatUI((MessageInputReceiver) this, theUserName);

			// shake hands
			writer.println(theUserName);
			writer.flush();
			// OK means init with server went well
			if (reader.readLine().equals(""""OK"""")) {
				initialized = true;
				readChat();
			} else {
				bailOut(new IOException(""""handshake failed""""));
			}
		} catch (IOException ioe) {
			bailOut(ioe);
		} catch (Exception e) {
			bailOut(e);
		}
	} 
"
39840471,testCookieGreaterThan,verify the value stored in a cookie using code greater than tag code,test cookie greater than,"

 public void testCookieGreaterThan() throws ServletException,  JspException {
        GreaterThanTag gt = new GreaterThanTag();
        gt.setPageContext(pageContext);
        gt.setCookie(COOKIE_KEY);
        gt.setValue(LESSER_VAL);

        assertTrue(
        	""""Cookie Value ("""" + GREATER_VAL + """") is greater than value ("""" + LESSER_VAL + """")"""", 
        	gt.condition());
    } 
"
44118809,remove,removes a whole passage from the map,remove a <UNK> from <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>,"

 public void remove() {
        // FIXME (magda) wlaciwie to powinna byc tez metoda mapy/jakiegos
        // nadrzednego obiektu tego przejscia, ktora usunie je z mapy. choc
        // jakbysmy trzymali parenta, to nie byloby problemu, bo w tej metodzie
        // obiekt by sie odczepial od kolekcji parenta i gc() bo go usunelo
    } 
"
49866815,createChecklistItem,creates a checklist item for the specified list,create a new checklist item,"

 public long createChecklistItem(long listId, String item, boolean isDone) {
    ContentValues values = new ContentValues();
    values.put(KEY_LIST_ID, listId);
    values.put(KEY_IS_DONE, isDone);
    values.put(KEY_ITEM, item);
    return mDb.insert(CHECKLIST_ITEM_TBL, null, values);
  } 
"
51122387,getMessage,returns the detail message string of this throwable,returns a string representation of the message,"

  public String getMessage() {
      StringBuffer sb = new StringBuffer();

      if (messages != null) {
         for (int i = 0; i < messages.size(); i++) {
            Object o = messages.elementAt(i);

            if (o != null) {
               sb.append(o.toString())
                 .append(""""\n"""");
            }
         }
      }

      return sb.toString();
   } 
"
49121415,createDataset,creates a sample dataset,creates a dataset for a series,"

 private XYDataset createDataset(double[]values,String name) {

        // create dataset 1...
        final XYSeries series = new XYSeries(name);
        
        for(int i=0; i<values.length;i++){
        	series.add(i,values[i]);
        }
        
        final XYSeriesCollection collection = new XYSeriesCollection();
        collection.addSeries(series);
        return collection;

    } 
"
43137003,getNAGString,returns the array of nags as a string delimited by space,returns the <UNK> of the <UNK>,"

  public String getNAGString (boolean allNumeric) {
      if (nags == null) return null;

      StringBuilder sb = new StringBuilder();
      String suff = null;
      int count = 0;

         for (int i=0; i<nags.length; i++) {
	    suff = NAG.numberToString(nags[i], allNumeric);

	    if (suff != null) {
	       if (count++ > 0)
	          sb.append("""" """");
	       sb.append(suff);
	    }
	 }
      return sb.toString();
   } 
"
2896279,print,returns a string representation of this regular expression,print a string to the content of the tab,"

 public String print(String tab) {
    if (content instanceof RegExp) {
      return tab+""""type = """"+type+Out.NL+tab+""""content :""""+Out.NL+((RegExp)content).print(tab+""""  """");
    }
    else
      return tab+""""type = """"+type+Out.NL+tab+""""content :""""+Out.NL+tab+""""  """"+content;

  } 
"
21344301,loadCurrentApplicationSpec,load and validate the current application specification,loads the application spec from the application spec,"

 private ApplicationSpec loadCurrentApplicationSpec() {
		ApplicationSpec currentApplicationSpec = null;
		if (currentApplicationSpecFile != null && currentApplicationSpecFile.exists()) {
			try {
				currentApplicationSpec = applicationSpecSerializer
						.downloadApplicationSpec(new BufferedInputStream(new FileInputStream(
								currentApplicationSpecFile)));
				if (!validateCurrentApplicationSpec(currentApplicationSpec))
					currentApplicationSpec = null;
			} catch (Exception e) {
				log.error(""""Could not read local application spec file"""", e);
			}
		}
		return currentApplicationSpec;
	} 
"
38221424,removeService,removes service from this main form,removes the <UNK>,"

 public void removeService(String type) {
    CService service = (CService) services.get(type);
    if (service != null) {
      service.unsetContext();
      services.remove(type);
      fireServiceChanged(new CServiceEvent(this, service, CServiceEvent.REMOVED));
    }
  } 
"
38221537,addDigit,adds the digit to the indicator text editor,adds a digit to the list,"

 private void addDigit(char digit) {
    if (digit == '0' && value.equals(""""0"""")) return;
    if (value.equals(""""0"""")) value = """""""";
    if (update) {
      value = """""""";
      minus = false;
      comma = false;
    }
    update = false;
    value += digit;
    showValue();
  } 
"
48023365,evaluatePopulation,this method evaluates the given population passed as,evaluates the population of a population,"

 public void evaluatePopulation (IntegerTypePopulation population, Simulation simulation, Object[] object){
		
		IntegerTypePopulation intPopulation = (IntegerTypePopulation) population;
		
		for (int i = 0; i < intPopulation.getChromossomesSet().size(); i++){
			
			intPopulation.getChromossomesSet().get(i).setFitness(this.calculateFitness(simulation.getChromossomesConfiguration(), intPopulation, i));
			
		}
		
		
	} 
"
41287529,play,start running the simulation from either a stopped or paused state,play the current state,"

 public void play(){
        if(currentState == SimulatorState.STOPPED){
            setSimulationTime(0);
            simItem.initialize();
            startTimer();
            setState(SimulatorState.PLAYING);
        }
        else if(currentState == SimulatorState.PAUSED){
            startTimer();
            setState(SimulatorState.PLAYING);
        }
    } 
"
16777940,readFromFile,ask a file for the username and password,reads the data from the file,"

  private void readFromFile() {
      try {
         FileReader fr = new FileReader(this.credentials);
         BufferedReader br = new BufferedReader(fr);
         this.username = br.readLine();
         this.password = br.readLine();
         br.close();
         fr.close();
      }
      catch (Exception e) {
         this.username = """""""";
         this.password = """""""";
      }
   } 
"
1736289,resetSchedConflict,this method resets schedule conflict,resets the <UNK> conflict,"

 public void resetSchedConflict() {
		try {
			if (listData == null || listData.size() == 0)
				return;
			for (int i = 0; i < listData.size(); i++) {
				TblAuditor auditor = (TblAuditor) listData.get(i);
				auditor.setSchedConflict(false);
			}
		} catch (Exception ex) {
			logger.error(ex);
			FacesUtils.addErrorMessage(ex.getMessage());
		}
	} 
"
1741129,otherDoEndTagOperations,method called from do end tag,this method is called when the end of the tag is executed,"

 private void otherDoEndTagOperations() {
        //
        // TODO: code that performs other operations in doEndTag
        //       should be placed here.
        //       It will be called after initializing variables,
        //       finding the parent, setting IDREFs, etc, and
        //       before calling shouldEvaluateRestOfPageAfterEndTag().
        //
    } 
"
36634895,swapItems,this function swaps two items positions in the menu list,swaps the items in the list of items in the array,"

 public void swapItems(int index, int change){
        if(index >= 0 && index < allItems.length &&
                change >= 0 && change < allItems.length){
            MenuItem temp = allItems[index];
            allItems[index] = allItems[change];
            allItems[change] = temp;
        }
    } 
"
29601536,getBackCommand2,returns an initiliazed instance of back command2 component,returns an initiliazed instance of back command2 component,"

 public Command getBackCommand2() {
        if (backCommand2 == null) {//GEN-END:|92-getter|0|92-preInit
            // write pre-init user code here
            backCommand2 = new Command(""""Back"""", Command.BACK, 0);//GEN-LINE:|92-getter|1|92-postInit
        // write post-init user code here
        }//GEN-BEGIN:|92-getter|2|
        return backCommand2;
    } 
"
19630615,addComponentDefinitionIdPropertyDescriptor,this adds a property descriptor for the component definition id feature,this adds a property descriptor for the component definition id feature,"

 protected void addComponentDefinitionIdPropertyDescriptor(Object object) {
		itemPropertyDescriptors.add
			(createItemPropertyDescriptor
				(((ComposeableAdapterFactory)adapterFactory).getRootAdapterFactory(),
				 getResourceLocator(),
				 getString(""""_UI_ComponentDefinitionReference_componentDefinitionId_feature""""),
				 getString(""""_UI_PropertyDescriptor_description"""", """"_UI_ComponentDefinitionReference_componentDefinitionId_feature"""", """"_UI_ComponentDefinitionReference_type""""),
				 WorkflowPackage.Literals.COMPONENT_DEFINITION_REFERENCE__COMPONENT_DEFINITION_ID,
				 true,
				 false,
				 false,
				 ItemPropertyDescriptor.GENERIC_VALUE_IMAGE,
				 null,
				 null));
	} 
"
19632303,addUriPropertyDescriptor,this adds a property descriptor for the uri feature,this adds a property descriptor for the uri feature,"

 protected void addUriPropertyDescriptor(Object object) {
		itemPropertyDescriptors.add
			(createItemPropertyDescriptor
				(((ComposeableAdapterFactory)adapterFactory).getRootAdapterFactory(),
				 getResourceLocator(),
				 getString(""""_UI_ConfigurationPropertyReference_uri_feature""""),
				 getString(""""_UI_PropertyDescriptor_description"""", """"_UI_ConfigurationPropertyReference_uri_feature"""", """"_UI_ConfigurationPropertyReference_type""""),
				 CanvasPackage.Literals.CONFIGURATION_PROPERTY_REFERENCE__URI,
				 true,
				 false,
				 false,
				 ItemPropertyDescriptor.GENERIC_VALUE_IMAGE,
				 null,
				 null));
	} 
"
12723449,"""",self modifying version of view dice,constructs and returns a new dice equal to the given dimensions,"

""
 
 protected AbstractMatrix3D vDice(int axis0, int axis1, int axis2) {
	super.vDice(axis0,axis1,axis2);
	
	// swap offsets
	int[][] offsets = new int[3][];
	offsets[0] = this.sliceOffsets;
	offsets[1] = this.rowOffsets;
	offsets[2] = this.columnOffsets;

	this.sliceOffsets = offsets[axis0];
	this.rowOffsets = offsets[axis1];
	this.columnOffsets = offsets[axis2];

	return this;
} 
"
12725774,actionPerformed,group select or deselct on all selected rows,invoked when an action occurs,"

 public void actionPerformed(ActionEvent e) {
		int[] selectedRows = features.getSelectedRows();
		if (selectedRows.length > 0) {
			boolean valueToBeSet = ((Boolean) features.getValueAt(
					selectedRows[0], 0)).booleanValue();
			for (int i = 0; i < selectedRows.length; ++i) {
				features.setValueAt(new Boolean(!valueToBeSet),
						selectedRows[i], 0);
			}
		}
	} 
"
51019251,fScore,hierarchical f score function,computes the average of the score of the given x and y,"

 public double fScore(ONDEXConcept x, ONDEXConcept y) {
        double recall = recall(x, y);
        double precision = precision(x, y);
        double score = 0;
        if (recall + precision != 0) {
            score = (2d * recall * precision) / (recall + precision);
        }
        return score;
    } 
"
7848915,draw,draw the control fps panel in the control sketch window,draws the <UNK> of the sketch,"

 public void draw() {
		p4vj.cSketch.stroke(0);
		p4vj.cSketch.fill(128);
		p4vj.cSketch.rect(xPos, yPos, xSize, ySize);
		drawFPS();
		p4vj.cSketch.fill(255);
		p4vj.cSketch.textAlign(p.LEFT, p.BASELINE);
		p4vj.cSketch.textFont(p4vj.fontSS14, 14);
		p4vj.cSketch.text("""" :: Control FPS"""", xPos, yPos + ySize - 5);
	} 
"
19682824,handleHalt,handle the halt system call,handle the halt process,"

 private int handleHalt() {
		//need to test that this is the root process
		if(processID == 0){
			Machine.halt(); 
		}else{
			//System.err.println(""""non-root process trying to call halt"""");
			return -1; //This is not the root process so ignore this one
		}
		
		Lib.assertNotReached(""""Machine.halt() did not halt machine!"""");
		return 0;
	} 
"
36760565,releaseExclusiveLock,releases an exclusive lock,releases the exclusive lock,"

 public void releaseExclusiveLock() {
		this.lock.lock();
		try {
			if (readers != 0  || writers != 1 ){
				this.throwError(""""There should be no readers(""""+readers+""""), and just one writer (""""+writers+"""")"""");
			}
			writers--;
			//wake up a writer if it is waiting; if not, wake up all the readers that are waiting, if any 
			if (writersWaitingCount > 0) {
				writersWaiting.signal();
			} else if (readersWaitingCount > 0) {
				readersWaiting.signalAll();
			}
		} finally {
			this.lock.unlock();
		}
	} 
"
37563349,"""",returns a rectangle which represents the rectangular,returns the bounds of the receiver,"

""
 
 public Rectangle getBounds() {
	if (isDisposed()) SWT.error(SWT.ERROR_GRAPHIC_DISPOSED);
  java.awt.Rectangle bounds = handle.getBounds();
  return new Rectangle((int)bounds.getX(), (int)bounds.getY(), (int)bounds.getWidth(), (int)bounds.getHeight());
} 
"
35553511,refreshTreePanel,refresh tree panel,refreshes the tree panel,"

 public void refreshTreePanel() {

		root.removeAllChildren();

		root = new DefaultMutableTreeNode(""""ALL"""");
		treeModel = new DefaultTreeModel(root);

		tree.setModel(treeModel);
		tree.setBounds(new Rectangle(0, 0, 196, 443));
		tree.setLayout(null);
		tree.setBackground(Color.white);

		tree.setCellRenderer(new UserIconRenderer());

		addAllUsers();

		TreePath treePath = tree.getPathForRow(0);
		tree.fireTreeExpanded(treePath);
	} 
"
35553791,createServerChooser,create server file view,creates a new main menu bar,"

 public void createServerChooser() {

		MainMenuBar mainMenuBar = MainMenuBar.getInstance();

		int nodeId = dbMgr.getNodeId((String) cbNE.getSelectedItem());

		DownloadFileChooser downloadFile = new DownloadFileChooser(nodeId, DBDataDesc.SHELF_OLT1, tfFileName, tfFileNameOnly);
		mainMenuBar.putCommand((Object) downloadFile);
		downloadFile.setViewId(mainMenuBar.getViewId());
		downloadFile.setVisible(true);
	} 
"
23014476,addRotation,adds a rotation to this matrix,adds a rotation to the matrix,"

 public void addRotation(Vector3f axis, Angle rotation) {
        Quaternion q = new Quaternion(rotation, axis);
        Matrix result = new Matrix(4, 4);
        Matrix quaternion = q.getRotationMatrix();
       
        Matrix.multiply(matrix,q.getRotationMatrix(), result);
        matrix = result;
    } 
"
50891793,testSetExample,test of set example method of class com,test of set example method of class pl,"

 public void testSetExample() {
        System.out.println(""""testSetExample"""");
        testString = """"<tag:foo>\n"""";
        testString += """"\t<tag:bar />"""";
        testString += """"</tag:foo>"""";
        tag.setExample(testString);
        assertEquals( tag.getExample(), testString );
    } 
"
46026508,saveSetting,save settings to property file,save the settings to the property file,"

 private void saveSetting(CustomProperties prop) {
		prop.setProperty(""""avalanchefever.gametype"""", mapSet);
		prop.setProperty(""""avalanchefever.outlinetype"""", outlinetype);
		prop.setProperty(""""avalanchefever.numcolors"""", numColors);
		prop.setProperty(""""avalanchefever.version"""", version);
		prop.setProperty(""""avalanchefever.chainDisplayType"""", chainDisplayType);
		prop.setProperty(""""avalanchefever.bigDisplay"""", bigDisplay);
	} 
"
40776207,process,notifies the client that the worker is ready to receive calls to other,process a worker,"

 public void process(WorkerIsReadyMessageHandle handle, ServiceManager serviceManager) {
		WorkerIsReadyProcessorRequestTO to = new WorkerIsReadyProcessorRequestTO();
		ServiceID workerID = serviceManager.getSenderServiceID();
		
		to.setWorkerAddress(workerID.toString());
		to.setWorkerContainerID(workerID.getContainerID().toString());
		
		OurGridRequestControl.getInstance().execute(to, serviceManager);
	} 
"
40778768,configBalanceRanking,load balances from the ranking file and configure the timer to save,<UNK> the <UNK> to the <UNK>,"

 private void configBalanceRanking(List<IResponseTO> responses, String filePath) {
		
		PeerDAOFactory.getInstance().getAccountingDAO().loadBalancesRanking(filePath);
		long frequence = AccountingConstants.RANKING_SAVING_FREQ;

		ScheduleActionWithFixedDelayResponseTO to = new ScheduleActionWithFixedDelayResponseTO();
		to.setActionName(PeerConstants.SAVE_ACCOUNTING_ACTION_NAME);
		to.setDelay(frequence);
		to.setTimeUnit(TimeUnit.SECONDS);
		
		responses.add(to);
	} 
"
23286083,getScopePartnerLinks,return an code elist code containing all partner link elements defined,returns the list of all the scope of the given partner,"

 public EList getScopePartnerLinks(final EObject process) {
		TreeIterator contents = process.eAllContents();
		EList results = new BasicEList();
		
		while (contents.hasNext()) {
			EObject obj = (EObject) contents.next();
			
			if (obj instanceof Scope) {
				results.addAll(((Scope) obj).getPartnerLinks().getChildren());
			}	
		}
		return results;
	} 
"
19466347,addBasePropertyDescriptor,this adds a property descriptor for the base feature,this adds a property descriptor for the base feature,"

 protected void addBasePropertyDescriptor(Object object) {
		itemPropertyDescriptors.add
			(createItemPropertyDescriptor
				(((ComposeableAdapterFactory)adapterFactory).getRootAdapterFactory(),
				 getResourceLocator(),
				 getString(""""_UI_AddressedVariable_base_feature""""),
				 getString(""""_UI_PropertyDescriptor_description"""", """"_UI_AddressedVariable_base_feature"""", """"_UI_AddressedVariable_type""""),
				 TaskingPackage.Literals.ADDRESSED_VARIABLE__BASE,
				 true,
				 false,
				 false,
				 ItemPropertyDescriptor.INTEGRAL_VALUE_IMAGE,
				 null,
				 null));
	} 
"
