,fid,name,ref,callcon,function
100,19413001,messageSent,listens for output of the command, invoked when a message was sent to a message ,"

public void messageSent( MessageEvent e ) {
    String str = e.getMessage();

    if ( str.endsWith( DIR_ADDED )) {
        str = str.substring( DIRECTORY.length(), str.indexOf( DIR_ADDED )).trim();
        createCvsFiles( str );
    }
    super.messageSent( e );
} 
"
96,10222579,equals,indicates whether some other object is equal to this one, compares this object against the specified object ,"

public boolean equals( Object obj ) {
    if ( obj == null || ( obj.getClass() != getClass() )) {
        return false;
    }
    CSSConditionalSelectorImpl s = ( CSSConditionalSelectorImpl ) obj;
    return ( s.simpleSelector.equals( simpleSelector ) && s.condition.equals( condition ));
} 
"
160,4627680,updateSchema,update an already existent user schema, updates the schema from the given schema ,"

public void updateSchema( String kind, SchemaTO schemaTO ) {
    try {
        restTemplate.postForObject( baseURL + ""schema/"" + kind + ""/update"", schemaTO, SchemaTO.class );
    } catch ( SyncopeClientCompositeErrorException e ) {
        LOG.error( ""While updating a user schema"", e );
    }
} 
"
69,4114383,add,adds a date to the list keeping the list sorted, adds a date to the list of fields ,"

public boolean add( Date date ) {
    if ( dates.contains( date )) 
        return false; 
	
    boolean added = false;
    for ( int i = 0; i < dates.size() && !added; i++ ) {
        Date nextDate = dates.get( i );

        if ( date.before( nextDate )) {
            dates.add( i, date );
            added = true;
        }
    }
    if ( !added ) {
        dates.add( date );
    }
    return true;
} 
"
150,14477536,go,shake hands with the server, go through the user interface and send the user to the server,"

public void go( String theUserName ) {
    try {
        new ChatUI(( MessageInputReceiver ) this, theUserName );
        // shake hands
        writer.println( theUserName );
        writer.flush();
        // OK means init with server went well

        if ( reader.readLine().equals( ""OK"" )) {
            initialized = true;
            readChat();
        } else {
            bailOut( new IOException( ""handshake failed"" ));
        }
    } catch ( IOException ioe ) {
        bailOut( ioe );
    } catch ( Exception e ) {
        bailOut( e );
    }
} 
"
52,44521080,BFSdist,traverses the graph breadth first and updates the distance, this method is called by the <UNK> <UNK> to be called ,"

public void BFSdist( Node n, Vector ToDo, int[] indirConn ){
    Node n2 = null;
    for ( Enumeration es = n.adjEdges.elements() ; es.hasMoreElements(); ) {
        n2 = n.adjNode(( Edge )es.nextElement());
        if ( n2.dist < 0 ){
            n2.dist = n.dist + 1;
            indirConn[ n2.dist ]++;

            // important add adds to the end of the list
            ToDo.add( n2 );
        }
    }
    if ( !ToDo.isEmpty() ){
        n2 = ( Node ) ToDo.remove( 0 );
        BFSdist( n2, ToDo, indirConn );
    }
} 
"
81,34427273,populateNewList,helper method which populates the gui list for resources which are new at, populates the new list with the specified <UNK> ,"

private void populateNewList() {
    newResources = mergeNewResources();
    SwingUtilities.invokeLater( new Runnable() {
        @SuppressWarnings( ""synthetic-access"" )
        @Override
        public void run() {
            newListModel.clear();
            for ( Wrapper wr : newResources )
                newListModel.addElement( wr );
        }
    });
} 
"
37,7957602,print,print a textual description of this expr info, print out the <UNK> ,"

protected void print() {
    System.out.println( ""Print for "" + prototype + ""------------------"" );
    cfg.visit( new PrintVisitor() {
        Phi phi = null;

        public void visitBlock( final Block block ) {
            phi = exprPhiAtBlock( block );
            super.visitBlock( block );
        }
        public void visitLabelStmt( final LabelStmt stmt ) {
            super.visitLabelStmt( stmt );

            if ( stmt.label().startsBlock() ) {
                if ( phi != null ) {
                    println( phi );
                    phi = null;
                }
            }
        }
    });
    System.out.println( ""End Print ----------------------------"" );
} 
"
145,41287529,play,start running the simulation from either a stopped or paused state, plays the current state ,"

public void play(){
    if( currentState == SimulatorState.STOPPED ){
        setSimulationTime( 0 );
        simItem.initialize();
        startTimer();
        setState( SimulatorState.PLAYING );
    }
    else if( currentState == SimulatorState.PAUSED ){
        startTimer();
        setState( SimulatorState.PLAYING );
    }
} 
"
54,23014476,addRotation,adds a rotation to this matrix, adds a rotation to the rotation matrix ,"

public void addRotation( Vector3f axis, Angle rotation ) {
    Quaternion q = new Quaternion( rotation, axis );
    Matrix result = new Matrix( 4, 4 );
    Matrix quaternion = q.getRotationMatrix();
       
    Matrix.multiply( matrix, q.getRotationMatrix(), result );
    matrix = result;
} 
"
3,17121898,compareTo,compares the tpoint object with other tpoint using timestamps first i, compare this camera to the game ,"

public int compareTo( TPoint o ) {
    if (( this.value == o.value() ) && ( this.tstamp == o.tstamp() )) {
        return 0;
    }
    else if ( this.tstamp > o.tstamp ) {
        return 1;
    }
    else if ( this.tstamp < o.tstamp ) {
        return -1;
    }
    else if ( this.value > o.value ) {
        return 1;
    }
    return -1;
} 
"
47,39233866,testInvoke,test if we can invoke a given service, test invoke method ,"

public void testInvoke() throws Exception {
    transport.setRemoteService( ""TravelProcess"" );
    call.setOperation( ""initiate"" );
    call.addParameter( ""x"", XMLType.XSD_STRING, ParameterMode.IN );
    call.setReturnType( XMLType.XSD_STRING );

    String result = ( String ) call.invoke( new Object[] { ""anything"" });

    assertEquals( DUMMY_RESULT, result );
} 
"
121,19507735,testOneTwoThreeCreateCycle,ensures cycles are ignored, test one with one three ,"

public void testOneTwoThreeCreateCycle() throws Exception {
    IRodinFile ctx = createRodinFile( ""P/x.ctx"" );
    createDependency( ctx, ""y"" );
    createData( ctx, ""one"" );
    ctx.save( null, true );
    runBuilder();
		
    IRodinFile cty = createRodinFile( ""P/y.ctx"" );
    createDependency( cty, ""x"" );
    createData( cty, ""two"" );
    cty.save( null, true );		
		
    IRodinFile ctz = createRodinFile( ""P/z.ctx"" );
    createData( ctz, ""three"" );
    ctz.save( null, true );
	
    runBuilder( ""CSC extract /P/x.ctx"",
                    ""CSC run /P/x.csc"",
                ""CSC extract /P/y.ctx"",
                ""CSC extract /P/z.ctx"",
                     ""CSC run /P/z.csc"");
} 
"
64,28631042,getMenuAdministracion,this method initializes menu administracion, this method initializes menu <UNK> ,"

private JMenu getMenuAdministracion() {
    if ( menuAdministracion == null ) {
        menuAdministracion = new JMenu();
        menuAdministracion.setText( Messages.getString( ""gui.GUI.57"" )); //$NON-NLS-1$
        menuAdministracion.setIcon( new ImageIcon( ""data/icons/package_system.png"" )); //$NON-NLS-1$
        menuAdministracion.add( getMenuItemAdminUsuarios() );
        menuAdministracion.add( getMenuItemAdminResorces() );
    }
    return menuAdministracion;
} 
"
88,18421665,searchRecipe,this function searches a recipe starting with the recipe passed as parameter, creates a recipe that contains the given templates ,"

private Recipe searchRecipe ( Recipe re ) {	
    Recipe recipe;
		
    for ( IngredientAmount iam : re.getIngredients() ) {
        if ( iam.getFood() instanceof Recipe ) {
            if (( Recipe )iam.getFood() == m_ActiveRecipe ) {
                return re;
            } else {
                recipe = searchRecipe (( Recipe ) iam.getFood());
					
                if ( recipe != null ) {
                    return recipe;
                }
            }
        }			
    }		
    return null;
} 
"
129,26285656,testValidateSeparationCount,test validate separation count, test the <UNK> of the <UNK> ,"

public void testValidateSeparationCount() {
    try {
        LinearDimension.validateSeparationCount( 0 );
        fail();
    } catch ( IllegalArgumentException ex ) {
        // ok
    }
    try {
        LinearDimension.validateSeparationCount( -2 );
        fail();
    } catch ( IllegalArgumentException ex ) {
        // ok
    }
    LinearDimension.validateSeparationCount( 1 );
    LinearDimension.validateSeparationCount( 2988 );
} 
"
71,39233258,getJSplitPane,this method initializes j split pane, this method initializes j split pane ,"

private JSplitPane getJSplitPane() {
    if ( jSplitPane == null ) {
        jSplitPane = new JSplitPane();

        DevicesTreePanel p = new DevicesTreePanel();
        p.addSelectionChangeListener( this );
        jSplitPane.setLeftComponent( p );
        jSplitPane.setRightComponent( getJTabbedPane() );

        jSplitPane.setDividerSize( 5 );
        jSplitPane.setDividerLocation( 200 );
    }
    return jSplitPane;
} 
"
152,50891793,testSetExample,test of set example method of class com, test of set example method of class nl ,"

public void testSetExample() {
    System.out.println( ""testSetExample"" );
    testString = ""<tag:foo>|n"";
    testString += ""|t<tag:bar />"";
    testString += ""</tag:foo>"";
    tag.setExample( testString );
    assertEquals( tag.getExample(), testString );
} 
"
74,45047585,exportXVRL,transform the validation report object into a xmlstream writer, export the given message to the given output stream ,"

public void exportXVRL( XMLStreamWriter xvrLDoc ) throws Exception{
    JAXBContext context = JAXBContext.newInstance( ValidationReport.class );
    Marshaller m = context.createMarshaller();
    m.setProperty( Marshaller.JAXB_FORMATTED_OUTPUT, true );
    ValidationReport vReport = exportVReport();

    if ( vReport != null ) m.marshal( vReport, xvrLDoc );
} 
"
15,45130358,evaluate,evaluates the numbers of hours in the xsd date time, evaluates the value of a literal ,"

public Value evaluate( Value value ) throws ExternalFunctionException {
    if (!( value instanceof Literal )) {
        throw new ExternalFunctionException( ""Values need to be literals to be understood"" );
    }    
    DateTime date = this.converter.convertDateTime(( Literal ) value );
        
    return this.converter.convertInteger( date.getHour() );
} 
"
147,49866815,createChecklistItem,creates a checklist item for the specified list, create a new checklist item ,"

public long createChecklistItem( long listId, String item, boolean isDone ) {
    ContentValues values = new ContentValues();
    values.put( KEY_LIST_ID, listId );
    values.put( KEY_IS_DONE, isDone );
    values.put( KEY_ITEM, item );
    return mDb.insert( CHECKLIST_ITEM_TBL, null, values );
} 
"
132,16777940,readFromFile,ask a file for the username and password, reads the file from the file and then shows it ,"

private void readFromFile() {
    try {
        FileReader fr = new FileReader( this.credentials );
        BufferedReader br = new BufferedReader( fr );
        this.username = br.readLine();
        this.password = br.readLine();
        br.close();
        fr.close();
    }
    catch ( Exception e ) {
        this.username = """";
        this.password = """";
    }
} 
"
73,38221424,removeService,removes service from this main form, removes a service from the registry ,"

public void removeService( String type ) {
    CService service = ( CService ) services.get( type );

    if ( service != null ) {
        service.unsetContext();
        services.remove( type );
        fireServiceChanged( new CServiceEvent( this, service, CServiceEvent.REMOVED ));
    }
} 
"
11,13482891,visitRetStmt,make sure that all of targets of the tt ret tt are valid, visits a statement ,"

public void visitRetStmt( RetStmt stmt ) {
    Set targets = new LinkedHashSet();
    Iterator iter = stmt.sub().paths().iterator();

    while ( iter.hasNext() ) {
        Block[] path = ( Block[]) iter.next();
        targets.add( path[ 1 ] );
    }

    targets.addAll( stmt.catchTargets() );
    verifyTargets( stmt.block(), targets );
    visitNode( stmt );
} 
"
104,12723449,abstractMatrix3D,self modifying version of view dice, returns a new <UNK> that is the <UNK> of the <UNK> ,"
 
protected AbstractMatrix3D vDice( int axis0, int axis1, int axis2 ) {
    super.vDice( axis0, axis1, axis2 );
	
    // swap offsets
    int[][] offsets = new int[ 3 ][];
    offsets[ 0 ] = this.sliceOffsets;
    offsets[ 1 ] = this.rowOffsets;
    offsets[ 2 ] = this.columnOffsets;

    this.sliceOffsets = offsets[ axis0 ];
    this.rowOffsets = offsets[ axis1 ];
    this.columnOffsets = offsets[ axis2 ];

    return this;
} 
"
38,19682824,handleHalt,handle the halt system call, handle <UNK> of <UNK> ,"

private int handleHalt() {
    //need to test that this is the root process
    if( processID == 0 ){
        Machine.halt(); 
    } else{
        //System.err.println( ""non-root process trying to call halt"" );
        return -1; //This is not the root process so ignore this one
    }	
    Lib.assertNotReached( ""Machine.halt() did not halt machine!"" );
    return 0;
} 
"
151,19507414,testMoveRFWithNullContainer,ensures that a rodin file cannot be moved to a null container, tests if a null include not null container null if not found,"

public void testMoveRFWithNullContainer() throws CoreException {
    IRodinFile rfSource = createRodinFile( ""/P/X.test"" );
    try {
        rfSource.move( null, null, null, false, null );
    } catch ( IllegalArgumentException iae ) {
        return;
    }
    assertTrue( ""Should not be able to move a rf to a null container"", false );
} 
"
128,50995324,createCacheFile,write the scaled and rotated cache file for a photo, creates the file for the given photo ,"

protected void createCacheFile( Photo photo, File photoCacheFile, PhotoDimension dimension ) throws IOException {
    OutputStream photoOS = new BufferedOutputStream( new FileOutputStream( photoCacheFile ));
    PhotoHelper.getInstance().writeUncachedThumbnail( photo, photoOS );
    photoOS.close();
} 
"
108,46026508,saveSetting,save settings to property file, save the properties of a custom properties ,"

private void saveSetting( CustomProperties prop ) {
    prop.setProperty( ""avalanchefever.gametype"", mapSet );
    prop.setProperty( ""avalanchefever.outlinetype"", outlinetype );
    prop.setProperty( ""avalanchefever.numcolors"", numColors );
    prop.setProperty( ""avalanchefever.version"", version );
    prop.setProperty( ""avalanchefever.chainDisplayType"", chainDisplayType );
    prop.setProperty( ""avalanchefever.bigDisplay"", bigDisplay );
} 
"
22,40936756,selectBracketingEntries,select the entries bracketing a specified date, select the entries in the specified date ,"

protected boolean selectBracketingEntries( final AbsoluteDate date ) {
    try {
        // select the bracketing elements
        next = ( TimeStampedEntry ) ( eop.tailSet( date ).first() );
        previous = ( TimeStampedEntry ) ( eop.headSet( next ).last() );
        return true;
    } catch ( NoSuchElementException nsee ) {
        previous = null;
        next = null;
        return false;
    }
} 
"
25,18418213,showLatestPlan,loads the latest plan in order to show it, returns the latest available snapshot ,"

public String showLatestPlan() {
    // clear previous protocols
    mCurrPlanProt = null;	
    try {
        PatientController han = new PatientController( mCurrPatient );
        NutPlan plan = han.getLatestNutritionPlan();
        NutritionController controller = NutritionController.editPlan( plan );

        mCurrPlanProt = WebPlanProtocol.createPlan( controller, plan, mCurrPatient );
        return ""success"";

    } catch ( Exception e ) {
        e.printStackTrace();
    }
    return ""failure"";
} 
"
24,43137003,getNAGString,returns the array of nags as a string delimited by space, returns the string representation of the <UNK> <UNK> ,"

public String getNAGString ( boolean allNumeric ) {
    if ( nags == null ) return null;

    StringBuilder sb = new StringBuilder();
    String suff = null;
    int count = 0;

    for ( int i=0; i < nags.length; i++ ) {
        suff = NAG.numberToString( nags[i], allNumeric );

        if ( suff != null ) {
            if ( count++ > 0 )
                sb.append("" "");
            sb.append( suff );
        }
    }
    return sb.toString();
} 
"
33,39298970,getApplicableLaw,selects the influence law which is applicable to a given influence, return a <UNK> or <UNK> or null if it is not yet,"

public InfluenceLaw getApplicableLaw( Influence inf ) {
    if ( inf == null ) {
        throw new IllegalArgumentException();
    }
    for ( Iterator iter = influenceLaws.iterator(); iter.hasNext(); ) {
        InfluenceLaw infLaw = ( InfluenceLaw ) iter.next();
        if( infLaw.isApplicableTo( inf )) {
            return infLaw;
        }
    }
    return null;
} 
"
46,14467418,setUpMrj,attempts to retrieve mrj version and mrj major version information on the, set up the look feel and feel ,"

private void setUpMrj() {
    Belvedere4.mrjVersion = System.getProperty( ""mrj.version"" );

    if ( Belvedere4.mrjVersion == null ) return;
    try {
        Belvedere4.mrjMajorVersion = Double.valueOf( Belvedere4.mrjVersion.substring( 0, 3 )).doubleValue();
    } catch ( Exception e ) {
        Belvedere4.mrjMajorVersion = 0;
    }
} 
"
133,33718481,testGetEmail,test of get email method of class tools, test of get email method of class org ,"

public void testGetEmail() {
    System.out.println( ""getEmail"" );
        
    String expResult = """";
    String result = instance.getEmail();
    assertEquals( expResult, result );
        
    // TODO review the generated test code and remove the default call to fail.
    //  fail( ""The test case is a prototype."" );
} 
"
32,19505695,getRodinDBStatus,returns the rodin database status object for this exception, get the status of a db ,"

public IRodinDBStatus getRodinDBStatus() {
    IStatus status = this.getStatus();

    if (vstatus instanceof IRodinDBStatusv) {
        return (vIRodinDBStatusv) status;
    } else {
        // A regular IStatus is created only in the case of a CoreException.
        // See bug 13492 Should handle RodinDBExceptions that contains
        // CoreException more gracefully
        return new RodinDBStatus( this.nestedCoreException );
    }
} 
"
91,1810081,onAttach,this method is called when a widget is attached to the browsers document, invoked when the add button is pressed ,"

protected void onAttach() {
    if ( attached )
        return;

    attached = true;

    // Set the main element's event listener. This should only be set
    // while the widget is attached, because it creates a circular
    // reference between JavaScript and the DOM.
    DOM.setEventListener( getElement(), this );

    // Now that the widget is attached, call onLoad().
    onLoad();
} 
"
0,38737384,setSecurityMode,public method to set the security level, sets the security mode for the specified token ,"

public int setSecurityMode ( int level, String authToken ) throws RemoteException {
    if ( !this.authToken.equals( authToken )){
        throw new RemoteException( ""Invalid Login Token"" );
    }
    ServerSettingBean.setSecureMode( """" + level );
    serverSettingBean.updateSettings();
    securityMode = level;
    return securityMode;
} 
"
29,19498280,test_10_bug2689872,an invalid character in a predicate is ignored but reported as a warning, test for int int ,"

public void test_10_bug2689872() throws Exception {
    E con = getGeneric().createElement( ""elt"" );
    getGeneric().addPredicates( con, makeSList( ""A1"" ), makeSList( ""0/=1"" ), false );
    getGeneric().save( con );
    runBuilder();
    SCE file = getGeneric().getSCElement( con );
    getGeneric().containsPredicates( file, emptyEnv, makeSList(), makeSList() );
		
    hasMarker( getGeneric().getPredicates( con )[ 0 ],
        EventBAttributes.PREDICATE_ATTRIBUTE,
        ParseProblem.LexerError,
        ""/""
        );
} 
"
159,33719869,testSetWelcomeMsg,test of set welcome msg method of class com, test of set welcome message method of class slide ,"

public void testSetWelcomeMsg() {
    System.out.println( ""setWelcomeMsg"" );
    String welcomeMsg = """";
    SystemClient_DBImpl instance = new SystemClient_DBImpl();     
    instance.setWelcomeMsg( welcomeMsg );
        
    // TODO review the generated test code and remove the default call to fail.
    fail( ""The test case is a prototype."" );
} 
"
90,29601536,getBackCommand2,returns an initiliazed instance of back command2 component, returns an initiliazed instance of back command2 component ,"

public Command getBackCommand2() {
    if ( backCommand2 == null ) {//GEN-END:|92-getter|0|92-preInit
        // write pre-init user code here
        backCommand2 = new Command( ""Back"", Command.BACK, 0 );//GEN-LINE:| 92-getter | 1 | 92-postInit
    // write post-init user code here
    }//GEN-BEGIN:| 92-getter | 2 |
    return backCommand2;
} 
"
161,39840471,testCookieGreaterThan,verify the value stored in a cookie using code greater than tag code, tests if the cookie is greater than the same value ,"

public void testCookieGreaterThan() throws ServletException,  JspException {
    GreaterThanTag gt = new GreaterThanTag();
    gt.setPageContext( pageContext );
    gt.setCookie( COOKIE_KEY );
    gt.setValue( LESSER_VAL );

    assertTrue(
        ""Cookie Value ("" + GREATER_VAL + "") is greater than value ("" + LESSER_VAL + "")"", 
        gt.condition());
} 
"
158,50026101,getRemoteObject,return a reference to a remote object, returns the <UNK> object for the given <UNK> ,"

public DBusInterface getRemoteObject( String objectpath ) throws DBusException {
    if ( null == objectpath ) { throw new DBusException(_( ""Invalid object path: null"" )); }

    if ( !objectpath.matches( OBJECT_REGEX )||( objectpath.length() > MAX_NAME_LENGTH )){ throw new DBusException(( ""Invalid object path: "" ) + objectpath); }

    return dynamicProxy( objectpath );
} 
"
62,29572299,listen,starts the server blocks indefinately, listens for incoming connections ,"

public void listen() throws IOException {
    logMessage( ""Server started at "" + this.getHostname() + "":"" + this.getPort() );
    while ( true ) {
        Socket socket = serverSocket.accept();
        logMessage( socket.getInetAddress().getCanonicalHostName() + ""has made a connection !"" );
        logMessage( ""Creating new listener"" );
        ListenThread task = new ListenThread( socket, this );
        logMessage( ""Adding new totemcontrolcomhandler"" );
        addHandlers( task );
        Thread listener = new Thread( task );
        logMessage( ""Starting new thread"" );
        listener.run();
    }
} 
"
86,50994916,setPhoto,set the jdai photo to display, sets the photo ,"

public void setPhoto( JdaiPhoto photo ) {
    String text = null;

    if ( photo != null ) {
        label.setText( """" );
        try {
            text = photo.getSection().getInfoStore().getCaption(photo);
        } catch ( JdaiReadException e ) {
            JdaiGuiHelpers.reportException( ""Unable to read caption"", e );
        }
        if ( text == null || text.equals( """" ) )
            text = ""No caption set"";
    } else {
        label.setIcon( null );
    }
    label.setToolTipText( text );
    setNewPhoto( photo );
} 
"
99,40865212,getBackCommand2,returns an initiliazed instance of back command2 component, returns an initiliazed instance of back command2 component ,"

public Command getBackCommand2() {
    if ( backCommand2 == null ) {//GEN-END: | 233-getter | 0 | 233-preInit
        // write pre-init user code here
        backCommand2 = new Command( ""OK"", Command.BACK, 0 );//GEN-LINE: | 233-getter | 1 | 233-postInit
        // write post-init user code here
    }//GEN-BEGIN: | 233-getter | 2 |
    return backCommand2;
} 
"
116,39120328,toString,p returns the string representation of this matcher, returns a string representation of this pattern ,"

public String toString() {
    StringBuffer sb = new StringBuffer();

    sb.append( ""java.util.regex.Matcher"" );
    sb.append( ""[pattern="" + pattern() );
    sb.append( "" region="" );
    sb.append( regionStart() + "","" + regionEnd() );
    sb.append( "" lastmatch="" );

    if (( first >= 0 ) && ( group() != null )) {
        sb.append( group() );
    }
    sb.append( ""]"" );
    return sb.toString();
} 
"
118,29318894,getTargetServiceName,can be overridden by subclasses to customize how the wsa to header is, returns the name of the target service name ,"

protected String getTargetServiceName( AddressingHeaders headers ) throws Exception {
    To toURI = headers.getTo();

    if ( toURI == null ) {
      return null;
    }
    String to = toURI.getPath();

    if ( to == nul l) {
      return null;
    }
    // set the target service
    return ( to.substring( to.lastIndexOf( '/' ) + 1 ));
} 
"
82,49250848,isInvalidEmailLink,returns code true code if this link is an invalid email address link, checks if the email address is invalid email address ,"

public boolean isInvalidEmailLink() {
    return textLink.contains( ArticleLink.EMAIL_AT_SEPARATOR ) &&
        !textLink.toLowerCase( Locale.getDefault()).startsWith( ""mailto:"" ) && //$NON-NLS-1$
        wikiFileURL.getWikiFileName( true ).contains( ArticleLink.EMAIL_AT_SEPARATOR );
} 
"
18,47571922,getEffect,return the effect applied to this pokemon of a particular lock or, returns the effect of the ap sent by the transition ,"

public StatusEffect getEffect( int lock ) {
    synchronized ( m_statuses ) {
        Iterator i = m_statuses.iterator();

        while ( i.hasNext() ) {
            StatusEffect eff = ( StatusEffect )i.next();

            if (( eff == null ) || !eff.isActive() ) {
                continue;
            }
            if ( eff.getLock() == lock ) {
                return eff;
            }
        }
    }
    return null;
} 
"
23,18354735,invalidateSession,removes the mapping between the designated sm2 client identifier and, invalidate a session with the id ,"

public void invalidateSession( String uid, String sid ) {
    cat.debug( ""==> invalidateSession( "" + String.valueOf( uid ) + "", "" + String.valueOf( sid ) + "")"" );

    synchronized ( lock ) {
        uid2sid.remove( uid );
        sid2ssc.remove( sid );
        sid2ttl.remove( sid );
    }
    cat.debug( ""<== invalidateSession()"" );
} 
"
105,34105249,makeUniqueParagraphForGlobalWithLength,used to create a paragraph of unique words with varying lengths, make a new paragraph paragraph for a given length ,"

public void makeUniqueParagraphForGlobalWithLength( String global, int length ) {
    String paragraph = """";
    String word;

    for ( int x = 0; x < length; x++ ) {
        word = makeUniqueStringForGlobalWithLength( global, ( int )( Math.random() * 8 ) + 2 );
        paragraph += word + "" "";
    }
    utils.setGlobal( global, paragraph );
} 
"
78,47571713,saveToFile,save the move sets to a file, saves the file to the file ,"

public void saveToFile( File f ) {
    try {
        FileOutputStream file = new FileOutputStream( f );
        saveToFile( file );
        file.close();
    } catch ( FileNotFoundException e ) {
        e.printStackTrace();
    } catch ( IOException e ) {
        e.printStackTrace();
    }
} 
"
12,19218425,getClassNameForLookAndFeel,may return null if no mapping for the name exists, returns the name of the class name and feel ,"

public String getClassNameForLookAndFeel( String name ) {
    if ( lfNameToLookAndFeel.containsKey( name )) {
        UIManager.LookAndFeelInfo lookAndFeelInfo =
                ( UIManager.LookAndFeelInfo ) lfNameToLookAndFeel.get( name );
        return lookAndFeelInfo.getClassName();
    }
    else {
        return null;
    }
} 
"
114,47570692,goToRegistration,brings the user to the registration dialog, this method initializes to registration ,"

private void goToRegistration() {
    m_logo.setVisible( false );
    m_login.setText( ""Cancel"" );
    m_userLabel.setLocation( 16, 4 );
    m_username.setLocation( 16, 24 );
    m_passLabel.setLocation( 16, 52 );
    m_password.setLocation( 16, 70 );
    m_confirmPass.setVisible( true );
    m_confPassLabel.setVisible( true );
    m_male.setVisible( true );
    m_female.setVisible( true );
    this.setTitle( ""Registration"" );
} 
"
109,20787007,store,stores a new element in the zip file with the given path, store the contents of a zip entry ,"

public void store( String path, InputStream stream ) throws IOException {
    toIgnore.add( normalizePath( path ));
    ZipEntry entry = new ZipEntry( path );
    zipOutput.putNextEntry( entry );
    IOUtils.copy( stream, zipOutput );
    zipOutput.closeEntry();
} 
"
