,fid,name,ref,callcon,function
77,38221537,addDigit,adds the digit to the indicator text editor, adds a digit character pair to the list of digits ,"

private void addDigit( char digit ) {
    if ( digit == '0' && value.equals( ""0"" )) return;
    if ( value.equals( ""0"" )) value = """";
    if ( update ) {
        value = """";
        minus = false;
        comma = false;
    }
    update = false;
    value += digit;
    showValue();
} 
"
72,33719607,testGetClassification,test of get classification method of class com, test of get classification method of class vgrabber ,"

public void testGetClassification() {
    System.out.println( ""getClassification"" );
    SystemClient_DBImpl instance = new SystemClient_DBImpl();
        
    Set expResult = null;
    Set result = instance.getClassification();
    assertEquals( expResult, result );
        
    // TODO review the generated test code and remove the default call to fail.
    fail( ""The test case is a prototype."" );
} 
"
42,19344536,setCombo_Value,this method sets the vaule of combo value, set the value of combo value ,"

public void setCombo_Value( String val ) {
    If (( val == null || """".equals( val )) && ( Combo_Value == null || """".equals( Combo_Value ))) {
        return;
    }
    if (( val == null ) || ( !val.equals( Combo_Value )) || ( updateStatus == NULL_INT_VALUE )) {
        Combo_Value = val;
        updateStatus = UPDATED;
    }
} 
"
117,34425716,actionLoadNotes,called when the user selects to load the in game notes file, loads the selected notes from the button ,"

private void actionLoadNotes() {
    enableUserActions( false );

    // set focus, otherwise it gives focus to ""clear"" >> scary/not wanted
    multiSubmitButton.requestFocusInWindow();

    resetSingleTextFields();
    multipleGUIList.clearSelection();
    multipleResources = loadNotesFile();
    updateMultiList();
    enableUserActions( true );
} 
"
60,34426938,initOptionsMenu,initiates and populates the options menu, initializes the options menu ,"

private void initOptionsMenu( JMenuBar bar ) {
    optionsMenu = new JMenu( ""Options"" );
    optionsMenu.setToolTipText( ""Options for SWGAide"" );
    optionsMenu.setMnemonic( KeyEvent.VK_O );

    optionsMenu.add( optionsSWGCraftMenuItem() );
    optionsMenu.setEnabled( true );
    bar.add( optionsMenu );
} 
"
51,22622479,getStatusFlagFields,gets the status flag input fields from the input manager, returns the list of status flag for the specified ,"

private List getStatusFlagFields() {
    List list = new ArrayList();
    String statusFlagPath = ""/collectionConfigRecord/statusFlags/statusFlag/status"";
    for ( Iterator i = im.getInputFields().iterator(); i.hasNext(); ) {
        InputField field = ( InputField ) i.next();
        // prtln ( field.toString() );
        if ( field.getNormalizedXPath().startsWith( statusFlagPath )) {
            list.add( field );
        }
    }
    return list;
} 
"
58,51122387,getMessage,returns the detail message string of this throwable, returns the message ,"

public String getMessage() {
    StringBuffer sb = new StringBuffer();

    if ( messages != null ) {
        for ( int i = 0; i < messages.size(); i++ ) {
            Object o = messages.elementAt( i );

            if ( o != null ) {
                sb.append( o.toString() );
                sb.append( ""|n"" );
            }
        }
    }
    return sb.toString();
} 
"
10,21359951,show,show dialog with existing or new null contact, shows the given contact ,"

public void show( Contact contact ) {
    logger.fine( ""Showing edit contact dialog for contact: "" + contact );
    this.contact = contact;
    init();
    setLocationRelativeTo( Context.mainFrame );
    optionPane.setValue( JOptionPane.UNINITIALIZED_VALUE );
    panel.setContact( contact );
    panel.prepareForShow();
    setVisible( true );
} 
"
53,34426334,addLimit,helper method which creates and adds an option for limit to the specified, add the limit of the given amount to the specified ,"

private void addLimit( JPopupMenu popup ) {
    JMenuItem limit = makeMenuItem( ""Write option: Limit days..."",""
                                   Specify a limit for the written output, in days"",
                                   new ActionListener() {
                                       @SuppressWarnings( ""synthetic-access"" )
                                       @Override
                                       public void actionPerformed( ActionEvent e ) {
                                           actionLimit();
                                       }
                                   });
    popup.add( limit );
} 
"
124,11950130,testGetCodigo,test of get codigo method of class proyectoventadepasajes, test of get tmp method of class com ,"

public void testGetCodigo() {
    System.out.println( ""getCodigo"" );
        
    Cronograma instance = null;   
    String expResult = """";
    String result = instance.getCodigo();
    assertEquals( expResult, result );
        
    // TODO review the generated test code and remove the default call to fail.
    fail( ""The test case is a prototype."" );
} 
"
1,22628734,setTopAttributes,populate top level attributes with opml type specific data attributes from, sets the top attributes of the top of the stack ,"

private void setTopAttributes( Attributes from ) {
    for ( int i = 0; i < from.getLength(); i++ ) {
        topMenu.setAttribute( from.getLocalName( i ), from.getValue( i ) );
        topMenu.setAttribute( from.getQName( i ), from.getValue( i ) );
    }
} 
"
9,35553791,createServerChooser,create server file view, creates the server chooser ,"

public void createServerChooser() {
    MainMenuBar mainMenuBar = MainMenuBar.getInstance();

    int nodeId = dbMgr.getNodeId(( String ) cbNE.getSelectedItem());

    DownloadFileChooser downloadFile = new DownloadFileChooser( nodeId, DBDataDesc.SHELF_OLT1, tfFileName, tfFileNameOnly );

    mainMenuBar.putCommand(( Object ) downloadFile );
    downloadFile.setViewId( mainMenuBar.getViewId() );
    downloadFile.setVisible( true );
} 
"
94,35553511,refreshTreePanel,refresh tree panel, refreshes the tree panel ,"

public void refreshTreePanel() {
    root.removeAllChildren();

    root = new DefaultMutableTreeNode( ""ALL"" );
    treeModel = new DefaultTreeModel( root );
    tree.setModel( treeModel );
    tree.setBounds( new Rectangle( 0, 0, 196, 443 ));
    tree.setLayout( null );
    tree.setBackground( Color.white );
    tree.setCellRenderer( new UserIconRenderer() );

    addAllUsers();

    TreePath treePath = tree.getPathForRow( 0 );
    tree.fireTreeExpanded( treePath );
} 
"
146,250694,getCollaborateCollection,returns the list of collaborate collections for the given user id, get a list of addresses that are logged in ,"

public List getCollaborateCollection( String userID ) throws AccessException {
    logger.debug( ""entering getCollaborateCollection()"" );
    String query = ""SELECT collection.PID PID, collection.TITLE TITLE, ""
            + "" collectionrole.ROLE ROLE FROM collectionrole, collection WHERE ""
            + "" collectionrole.USERID = '"" + userID + ""'""
            + "" AND collectionrole.COLLECTIONPID = collection.PID""
            + "" AND collection.ROOT = '1'"";
    List list = buildResult( query );
    return list;
} 
"
106,43040436,init,initializes the class, initializes the package ,"

private void init() throws CoreException {
    final String name = getClassName();
    final IPackageFragment pkg = getPackage();
    final ICompilationUnit unit = pkg.createCompilationUnit( name + "".java"", """", true, null );
    setUp( unit );
    createMainType( PUBLIC_KEYWORD, pkg.getElementName(), getClassName() );
} 
"
55,23286083,getScopePartnerLinks,return an code elist code containing all partner link elements defined, returns the scope of the given scope ,"

public EList getScopePartnerLinks( final EObject process ) {
    TreeIterator contents = process.eAllContents();
    EList results = new BasicEList();
		
    while ( contents.hasNext() ) {
        EObject obj = ( EObject ) contents.next();
			
        if ( obj instanceof Scope ) {
            results.addAll((( Scope ) obj ).getPartnerLinks().getChildren() );
        }	
    }
    return results;
} 
"
41,7848915,draw,draw the control fps panel in the control sketch window, draw the next character ,"

public void draw() {
    p4vj.cSketch.stroke( 0 );
    p4vj.cSketch.fill( 128 );
    p4vj.cSketch.rect( xPos, yPos, xSize, ySize );
    drawFPS();
    p4vj.cSketch.fill( 255 );
    p4vj.cSketch.textAlign( p.LEFT, p.BASELINE );
    p4vj.cSketch.textFont( p4vj.fontSS14, 14 );
    p4vj.cSketch.text( "" :: Control FPS"", xPos, yPos + ySize - 5 );
} 
"
65,48209810,setButtonText,sets the button text, set the text of the menu item ,"

private void setButtonText() {
    String txt = menuItem.getTitle() + "" ("" + menuItem.getStock() + "" in Stock)"";
    try {
        Course tmpCourse = ( Course )menuItem;

        if ( tmpCourse.getCourseType() == Course.FIRST_COURSE ) {
            txt = ""1st: "" + txt;
        } else {
            txt = ""2nd: "" + txt;
        }
    } catch ( Exception e ) {
        // TODO: handle exception
    }
    this.setText( txt );
} 
"
143,34609355,getFastestGenerator,returns the fastest generator for the given language, returns the fastest generator for the given locale ,"

public WordFormGenerator getFastestGenerator( final Locale locale ) throws MorphologyException {
    if ( locale == null ) {
        throw new IllegalArgumentException( ""The 'loc' argument cannot be null."" );
    }
    WordFormGenerator component = ( WordFormGenerator ) fastestGenerators.get( locale );
    if ( component == null ) {
        throw new MorphologyException( ""Cannot find generator for locales : "" + locale.toString() );
    }
    return component;
} 
"
40,37762493,moveUpTarget,moves the given target up in the list of active targets, moves the target at the specified index up to the index ,"

public void moveUpTarget( int index ) {
    Object target= targets.get( index );

    if ( index == 0 || target == null ) {
        return;
    }
    targets.set( index, targets.get( index - 1 ));
    targets.set( index - 1, target );
    log.debug( ""New ordering"" );

    for ( int i = 0; i < targets.size(); i++ ) {
        log.debug( ""|t"" + i + targets.get( i ));
    }
} 
"
34,22907997,removeRedundantOperations,optimize the list of files to remove by discarding redundant operations like, remove the related operations from the server ,"

private void removeRedundantOperations( OBEXElement file, List< OBEXElement > filesToRemove ) {
    OBEXElement parentFolder = file;
    log.debug( ""Removing redundant operations"" );

    while (( parentFolder = parentFolder.getParent() ) != null ) {
        if ( filesToRemove.contains( parentFolder )) {
            filesToRemove.remove( file );
            file = parentFolder;
        }
    }
} 
"
35,18123253,setSelectedScript,sets the selected existing script, set the selected script ,"

public void setSelectedScript( Object script ) {
    selectedScript = script;

    // expand to and select the specified container
    List itemsToExpand = new ArrayList();
    IContainer parent = project.getParent();
    while ( parent != null ) {
        itemsToExpand.add( 0, parent );
        parent = parent.getParent();
    }
    treeViewer.setExpandedElements( itemsToExpand.toArray() );
    treeViewer.setSelection( new StructuredSelection( project ), true );
} 
"
93,31203037,addToTechnicalComment,adds to the technical comment about this project, adds a comment to an instance of a <UNK> ,"

public void addToTechnicalComment( final String add_to_technical_comment ) {
    if ( getTechnicalComment() != null && getTechnicalComment().length() > 0 ) {
        setTechnicalComment( getTechnicalComment() + ""|n"" + add_to_technical_comment );
    }
    else {
        setTechnicalComment( add_to_technical_comment );
    }
} 
"
142,31788771,addUIDeployment,add a sand uideployment to our list of uis for this project, internal method for <UNK> the <UNK> thread ,"

public void addUIDeployment( SandUIDeployment uidep ) {
    SandUIDeployment[] olduis = getSandUIDeployments();
    SandUIDeployment[] newuis = new SandUIDeployment[ olduis.length + 1 ];
    System.arraycopy( olduis, 0, newuis, 0, olduis.length );
    newuis[ olduis.length ] = uidep;
    setSandUIDeployments( newuis );
} 
"
157,19346491,checkSetLayout,checks layout set correctly, check if the layout is a layout ,"

private void checkSetLayout( int layout, String field ) {
    filter.setLayoutIndex( layout );
    assertEquals( ""The layout Index was "" + filter.getLayoutIndex()
            + "" and not "" + layout, layout, filter.getLayoutIndex() );

    String fld = fieldList.getValueAt( 1, 0 ).toString();
    assertEquals( ""Expected field '"" + field + ""' but got "" + fld, field, fld );
} 
"
119,48861766,addRelativeHeaders,add relative header, add the header to the table ,"

private void addRelativeHeaders( Response response, int timeInSeconds ) {
    response.setHeader( CACHE_CONTROL_HEADER, String.format( ""max-age=%d"", timeInSeconds ));
    Calendar expires = Calendar.getInstance();
    expires.add( Calendar.SECOND, timeInSeconds );
    response.setHeader( ""Expires"", DATE_FORMAT.format( expires ));
} 
"
19,3934822,documentLoadingCompleted,called when the loading of a document was completed, the loading of the document that has completed ,"

public void documentLoadingCompleted( SVGDocumentLoaderEvent e ) {
    if ( debug ) {
        System.out.print( ""Document load completed in "" );
        System.out.println(( System.currentTimeMillis() - time ) + "" ms"" );
    }
    setSVGDocument( e.getSVGDocument(), e.getSVGDocument().getURL(), e.getSVGDocument().getTitle() );
} 
"
83,15689897,getAll,returns all the values associated with the given key, get all the key value for the given key ,"

public List getAll( Object key ) {
    Object value = mMap.get( key );

    if ( value instanceof List ) {
        return (( List )value );
    }
    else {
        List list = new ArrayList();

        if ( value != null || mMap.containsKey( key )) {
            list.add( value );
        }
        mMap.put( key, list );
        return list;
    }
} 
"
122,34426756,makeCenter,helper method which creates and returns a canvas for images, make center of the center and returns a frame ,"

private Component makeCenter() {
    imageCanvas = new JPanel();
    imageCanvas.addMouseListener( new MouseAdapter() {
        @SuppressWarnings( ""synthetic-access"" )
        @Override
        public void mouseClicked( MouseEvent e ) {
            actionImageMouse( e );
        }
    });

    imageCanvas.add( new JLabel( new ImageIcon( SWGFrame.class.getResource( ""images/swg.png"" ))));

    return new JScrollPane( imageCanvas );
} 
"
4,1810886,setNamedItem,this function delegates to the native method code set named item code in, set the named item ,"

public Node setNamedItem( Node arg ) {
    try {
        return NodeImpl.build( XMLParserImpl.setNamedItem( this.getJsObject(),
        (( DOMItem ) arg ).getJsObject() ));
    } catch ( JavaScriptException e ) {
        throw new DOMNodeException( DOMNodeException.INVALID_MODIFICATION_ERR, e, this );
    }
} 
"
137,33719117,testSetChkEvtID,test of set chk evt id method of class com, test of set chk method of class wikipedia ,"

public void testSetChkEvtID() {
    System.out.println( ""setChkEvtID"" );
        
    String ChkEvtID = """";
    Email_DBImpl instance = new Email_DBImpl();
        
    instance.setChkEvtID( ChkEvtID );
        
    // TODO review the generated test code and remove the default call to fail.
    fail( ""The test case is a prototype."" );
} 
"
45,4453291,exit,gracefully shutdown the application, exit the event ,"

public void exit( EventObject event ) {
    for ( ExitListener listener : exitListeners ) {
        if ( !listener.canExit( event )) {
            return;
        }
    }
    try {
        for ( ExitListener listener : exitListeners ) {
            try {
                listener.willExit( event );
            } catch ( Exception e ) { 
                logger.log( Level.WARNING, ""ExitListener.willExit() failed"", e );
            }
        }
        shutdown();
    } catch ( Exception e ) { 
        logger.log( Level.WARNING, ""unexpected error in Application.shutdown()"", e );
    }
    finally {
        end();
    }
} 
"
50,40875567,getBackCommand25,returns an initiliazed instance of back command25 component, returns an initiliazed instance of back <UNK> component ,"

public Command getBackCommand25() {
    if ( backCommand25 == null ) { //GEN-END: | 618-getter | 0 | 618-preInit
        // write pre-init user code here
        backCommand25 = new Command( ""Back"", Command.BACK, 0 );//GEN-LINE:| 618-getter | 1 | 618-postInit
        // write post-init user code here
    }//GEN-BEGIN: | 618-getter | 2 |
    return backCommand25;
} 
"
49,28953715,readResponse,read the entire response from the http post as a string, reads a response from the input stream ,"

private String readResponse( InputStream stream ) {
    BufferedReader input = new BufferedReader( new InputStreamReader( stream ));
    StringBuffer sb = new StringBuffer();
    String line;
    try {
        line = input.readLine();
    } catch ( IOException e ) {
        line = null;
    }
    while ( line != null ) {
        if ( !line.trim().equals( """" ) ) {
            if ( sb.length() > 0 ) sb.append( ""|n"" );
            sb.append( line );
        }
        try {
            line = input.readLine();
        } catch ( IOException e ) {
            line = null;
		}
    }
    return sb.toString();
} 
"
63,51019251,fScore,hierarchical f score function, returns the score of a given concept ,"

public double fScore( ONDEXConcept x, ONDEXConcept y ) {
    double recall = recall( x, y );
    double precision = precision( x, y );
    double score = 0;
    if ( recall + precision != 0 ) {
        score = ( 2d * recall * precision ) / ( recall + precision );
    }
    return score;
} 
"
26,33719114,testSetEvtID,test of set evt id method of class com, test of set method of class email ,"

public void testSetEvtID() {
    System.out.println( ""setEvtID"" );    
    String evtID = """";
    Email_DBImpl instance = new Email_DBImpl();
    instance.setEvtID( evtID );
        
    // TODO review the generated test code and remove the default call to fail.
    fail( ""The test case is a prototype."" );
} 
"
27,26501411,doOutput,template method that can be overriden to log to another place than, print the output of the task ,"

protected void doOutput( int lvl, Object message, Throwable t ) {
    System.out.print( ""["" );
    System.out.print( _taskName );
    System.out.print( "" - "" );
    System.out.print( LEVEL[lvl] );
    System.out.print( ""]"" );
    System.out.println( message );

    if( t != null ) {
        t.printStackTrace();
    }
} 
"
139,20950900,load,loads the image from a file, loads the file into the file ,"

private void load( LockedFile file ) throws SQLIOException {
    file.setPosition( POS_HEADER );

    byte[] buffer = new byte[ BASE_HEADER_SIZE ];
    file.read( buffer, 0, BASE_HEADER_SIZE );

    type = buffer[ POS_TYPE ];
    lastUpdate = decode3Date( buffer, POS_LAST_UDPATE );
    recordsNum = DbfUtils.decodeLittleUint16( buffer, POS_RECORDS_NUM );
    recordSize = DbfUtils.decodeLittleUint16( buffer, POS_RECORD_SIZE );
    headerSize = DbfUtils.decodeLittleUint16( buffer, POS_HEADER_SIZE );

    verifyAndFixHeader( file );
} 
"
39,20687719,getConnectionPanel,this method initializes connection panel, this method initializes j panel ,"

private JPanel getConnectionPanel() {
    if ( connectionPanel == null ) {
        connectionRoomLabel = new JLabel();
        connectionRoomLabel.setText( ""Playground"" );
        connectionPanel = new JPanel();
        connectionPanel.setLayout( new BoxLayout( getConnectionPanel(), BoxLayout.X_AXIS ));
        connectionPanel.add( getConnectionsButton(), null );
        connectionPanel.add( connectionRoomLabel, null );
    }
    return connectionPanel;
} 
"
112,48104729,clone,clone the format object, returns a copy of this datatype ,"

public Object clone() {
    Format result = new Format();

    result.datatype = datatype;
    result.datatypeID = datatypeID;
    result.respectCase = respectCase;
    result.gap = gap;
    result.missing = missing;
    result.labels = labels;
    result.labelQuotes = labelQuotes;
    result.transpose = transpose;
    result.interleave = interleave;
    result.diploid = diploid;
    result.tokens = tokens;
    result.symbols = symbols;
    result.matchChar = matchChar;

    return result;
} 
"
115,33719118,testGetEvtIDs,test of get evt ids method of class com, test of get <UNK> <UNK> method of class org ,"

public void testGetEvtIDs() {
    System.out.println( ""getEvtIDs"" );
    Email_DBImpl instance = new Email_DBImpl();     
    String[] expResult = null;
    String[] result = instance.getEvtIDs();
    assertEquals( expResult, result );
        
    // TODO review the generated test code and remove the default call to fail.
    fail( ""The test case is a prototype."" );
} 
"
16,27802185,createGraphModel,create a new pgraph model based on set of nodes, creates a new graph model containing the nodes ,"

public GraphModel createGraphModel ( List includedNodes ) {
    num_models++;
    System.out.println( ""PGraphModel: creating a new non-super graphmodel: "" + num_models );

    GraphModel model =  new PGraphModel( ""Phoebe"" + num_models, getModelSubSet( includedNodes ));
    getCommunity().add( model );
    //return new PGraphModel( ""Phoebe"" + num_models, getModelSubSet( includedNodes ));

    return model;
} 
"
8,22624602,asMap,for use in json emulate part of people db 1, maps a map as a map as a map ,"

public Map asMap() {
    Map map = new HashMap();
    // map.put ( ""org_id"", org_id );
    map.put( ""startDate"", start_date );
    map.put( ""endDate"", end_date );

    if ( this.organization != null )
        map.put( ""organization"", this.organization.acronym );
    map.put( ""type"", ( this.isVisitor() ? ""Visitor"" : ""Employee"" ));
    // return new JSONObject( map );
    return map;
} 
"
134,45929468,getRelFeedItems,feed feed item, returns the list of the feed items for the given feed item,"

public List getRelFeedItems( FeedItem feedItem ) {
    final int feedId = feedItem.getFeed().getFeedId();
    final String sql = ""select * from T_FeedItem where FEED_ID ="" + feedId;
    return getPagedListByNativeSQL( FeedItem.class, sql, "" id desc"", 1, 20 );
} 
"
14,33519720,encode,encodes a string using base64 encoding, encode a string into utf 8 encoded encoded string ,"

public String encode( String string ) throws EncoderException {
    byte[] bytes, encoded_bytes;
    String encoded_string = """";
        
    try {
        bytes = string.getBytes( ""UTF-8"" );
        encoded_bytes = encodeBase64( bytes );
        encoded_string = new String( encoded_bytes );
        
    } catch ( UnsupportedEncodingException ex ) {
        ex.printStackTrace();
    }
    return encoded_string;
} 
"
68,39215677,iamNear,check if a player is next to another actor, check if the actor is a valid player ,"

private boolean iamNear( Actor defender ) {
    short xDiff = ( short ) ( defender.getXpos() - getXpos() );
    short yDiff = ( short ) ( defender.getYpos() - getYpos() );

    if ( xDiff > 1 || yDiff > 1 || xDiff < -1 || yDiff < -1 ) {
        return false;
    }
    return true;
} 
"
102,19498298,testOccThm,all other tests only check for occurrences in axioms, test the value of input and target ,"

public void testOccThm() throws Exception {
    final IContextRoot context = ResourceUtils.createContext( rodinProject, CTX_BARE_NAME, CST_1DECL_1REF_THM );
    final IConstant cst1 = context.getConstant( INTERNAL_ELEMENT1 );
    final IDeclaration declCst1 = newDecl( cst1, CST1 );
    final IAxiom thm = context.getAxiom( INTERNAL_ELEMENT1 );
    final IOccurrence occRef = makeRefPred( thm, 9, 13, declCst1 );
    final BridgeStub tk = new BridgeStub( context );
    final ContextIndexer indexer = new ContextIndexer();

    assertTrue( indexer.index( tk ));

    tk.assertOccurrencesOtherThanDecl( cst1, occRef );
} 
"
75,27801498,setBinWidth,sets the bin width and repaints, set the bin width component ,"

public void setBinWidth ( double new_bin_width ) {
    double old_bin_width = binWidth;
    binWidth = new_bin_width;
    pcs.firePropertyChange( ""binWidth"",
              new Double( old_bin_width ),
              new Double( new_bin_width ));
    repaint();
} // setBinWidth( double ) 
"
30,43419611,saveCRCReply,here the local container description will be stored on disk, save the latest reply from the server ,"

private void saveCRCReply( ClientRemoteContainerReply crcReply ) {	
    LoadService.currentlyWritingFile = true;
    String mySavingPath = LoadService.SERVICE_NODE_DESCRIPTION_FILE;
    try {
        ObjectOutputStream out = new ObjectOutputStream( new FileOutputStream( mySavingPath ));
        out.writeObject( crcReply );
        out.flush();
        out.close();
			
    } catch ( FileNotFoundException e1 ) {
        e1.printStackTrace();
    } catch ( IOException e1 ) {
        e1.printStackTrace();
    }
    LoadService.currentlyWritingFile = false;
} 
"
5,38184555,wndPreferences,window preferences menu action, helper method to fill the preferences of the application ,"

public void wndPreferences() {
    log.entering( ""MainWindow"", ""wndPreferences"" );
    PropertiesDlg propDlg = new PropertiesDlg( this );
    propDlg.setModal( true );
    propDlg.setVisible( true );
    log.exiting( ""MainWindow"", ""wndPreferences"" );
} 
"
126,22618655,getGlobalElements,gets the global elements attribute of the definition miner object, returns the list of all of the document contained in the document,"

private void getGlobalElements( Document doc, File file ) {
    if ( doc == null ) {
        return;
    }
    List list = doc.selectNodes( ""/xsd:schema/xsd:element"" );

    for ( Iterator iter = list.iterator(); iter.hasNext(); ) {
        Element element = ( Element ) iter.next();
        String name = element.attributeValue( ""name"" );
        GlobalElement g = new GlobalElement( element, file );
        // System.out.println ( g.toString() );
        try {
            globalDefMap.setValue( name, g );
        }  catch ( Exception e ) {
            System.out.println ( e.getMessage() );
        }
    }
} 
"
70,29852582,genSql,generate the code in pure java form, generate the sql connection to the target host ,"

public void genSql() throws PositionedError {
    try {
        SqlcPrettyPrinter spp;
        spp = new SqlcPrettyPrinter( ref.getFile() );
        spp.printCUnit( elems );
        spp.close();
    } catch ( IOException ioe ) {
        ioe.printStackTrace();
        System.err.println( ""cannot write: "" + ref.getFile() );
    }
} 
"
31,34413808,init,method to handle initialisation tasks, initializes the object ,"

private void init() {
    _innerData = Collections.synchronizedMap( new LinkedHashMap< String, Object >() );
    Iterator< Entry < String, Object >> itr = _srcModel.entrySet().iterator();

    while( itr.hasNext() ){
        Entry< String, Object > entry = itr.next();
        _innerData.put( entry.getKey(), entry.getValue() );
    }
    _srcListener = new ListDataListener(){
        public void onChange( ListDataEvent event ) {
        onListDataChange( event );
        }
    };	
    _srcModel.addListDataListener( _srcListener );
} 
"
130,26493872,resolveValue,utility methods that resolve the value passed with for the given context, method resolve value ,"

protected String resolveValue( MagnetContext aContext, String aValue ) throws RenderingException {
    try {
        if ( aValue == null ) {
            return null;
        } else {
            TemplateElementIF aTemplate = _theTemplateFactory.parse( aValue );
            return aTemplate.render( aContext );
        }
    } catch ( TemplateException te ) {
        throw new RenderingException( ""Unable to resolve the value "" + aValue, te );
    }
} 
"
66,22407318,jbInit,add compononents to the page, this method initializes <UNK> ,"

private void jbInit() throws Exception {
    setLayout( new GridBagLayout() );

    add( m_environmentpanel,
        new GridBagConstraints( 0, 0, 1, 1, 1.0, 1.0,
                          GridBagConstraints.CENTER,
                          GridBagConstraints.HORIZONTAL,
                          new Insets( 0, 0, 0, 0 ), 0, 0 ));
} 
"
125,24245709,fetchString,internal helper function read a string from the device, helper method to fetch a string from a register ,"

protected String fetchString( int register, int len ) {
    int ret = getData( register, byteBuff, 8 );
    char [] charBuff = new char[ len ];

    for( int i = 0; i < len; i++ )
        charBuff[ i ] = ( byteBuff[ i ] == 0 ? ' ' : ( char )byteBuff[ i ]);
        return new String( charBuff, 0, len );
} 
"
