fid,name,ref,callcon,function
22622479,getStatusFlagFields,gets the status flag input fields from the input manager," returns the list of status flag for the specified ","

private List getStatusFlagFields() {
    List list = new ArrayList();
    String statusFlagPath = ""/collectionConfigRecord/statusFlags/statusFlag/status"";
    for ( Iterator i = im.getInputFields().iterator(); i.hasNext(); ) {
        InputField field = ( InputField ) i.next();
        // prtln ( field.toString() );
        if ( field.getNormalizedXPath().startsWith( statusFlagPath )) {
            list.add( field );
        }
    }
    return list;
} 
"
44521080,BFSdist,traverses the graph breadth first and updates the distance," this method is called by the <UNK> <UNK> to be called ","

public void BFSdist( Node n, Vector ToDo, int[] indirConn ){
    Node n2 = null;
    for ( Enumeration es = n.adjEdges.elements() ; es.hasMoreElements(); ) {
        n2 = n.adjNode(( Edge )es.nextElement());
        if ( n2.dist < 0 ){
            n2.dist = n.dist + 1;
            indirConn[ n2.dist ]++;

            // important add adds to the end of the list
            ToDo.add( n2 );
        }
    }
    if ( !ToDo.isEmpty() ){
        n2 = ( Node ) ToDo.remove( 0 );
        BFSdist( n2, ToDo, indirConn );
    }
} 
"
34426334,addLimit,helper method which creates and adds an option for limit to the specified," add the limit of the given amount to the specified ","

private void addLimit( JPopupMenu popup ) {
    JMenuItem limit = makeMenuItem( ""Write option: Limit days..."",""
                                   Specify a limit for the written output, in days"",
                                   new ActionListener() {
                                       @SuppressWarnings( ""synthetic-access"" )
                                       @Override
                                       public void actionPerformed( ActionEvent e ) {
                                           actionLimit();
                                       }
                                   });
    popup.add( limit );
} 
"
23014476,addRotation,adds a rotation to this matrix," adds a rotation to the rotation matrix ","

public void addRotation( Vector3f axis, Angle rotation ) {
    Quaternion q = new Quaternion( rotation, axis );
    Matrix result = new Matrix( 4, 4 );
    Matrix quaternion = q.getRotationMatrix();
       
    Matrix.multiply( matrix, q.getRotationMatrix(), result );
    matrix = result;
} 
"
23286083,getScopePartnerLinks,return an code elist code containing all partner link elements defined," returns the scope of the given scope ","

public EList getScopePartnerLinks( final EObject process ) {
    TreeIterator contents = process.eAllContents();
    EList results = new BasicEList();
		
    while ( contents.hasNext() ) {
        EObject obj = ( EObject ) contents.next();
			
        if ( obj instanceof Scope ) {
            results.addAll((( Scope ) obj ).getPartnerLinks().getChildren() );
        }	
    }
    return results;
} 
"
40778768,configBalanceRanking,load balances from the ranking file and configure the timer to save," method to <UNK> the balance into the <UNK> file ","

private void configBalanceRanking( List< IResponseTO > responses, String filePath ) {	
    PeerDAOFactory.getInstance().getAccountingDAO().loadBalancesRanking( filePath );
    long frequence = AccountingConstants.RANKING_SAVING_FREQ;

    ScheduleActionWithFixedDelayResponseTO to = new ScheduleActionWithFixedDelayResponseTO();
    to.setActionName( PeerConstants.SAVE_ACCOUNTING_ACTION_NAME );
    to.setDelay( frequence );
    to.setTimeUnit( TimeUnit.SECONDS );
		
    responses.add( to );
} 
"
1046788,testAddCountryWithSequenceGenerator,flow 2 positive case hibernate sequence generator," add country object to sequence generator ","

public void testAddCountryWithSequenceGenerator() throws Exception {
    CountryWithSequence country1 = new CountryWithSequence();
    country1.setCountryId( ""KR"" );
    country1.setCountryName( ""Korea"" );

    Integer countryCode = ( Integer ) session.save( country1 );
    assertEquals( ""fail to generate a new countryCode."", 0, countryCode.intValue() );
    assertNotNull( ""fail to add a new country with sequence generator."", countryCode );
} 
"
51122387,getMessage,returns the detail message string of this throwable," returns the message ","

public String getMessage() {
    StringBuffer sb = new StringBuffer();

    if ( messages != null ) {
        for ( int i = 0; i < messages.size(); i++ ) {
            Object o = messages.elementAt( i );

            if ( o != null ) {
                sb.append( o.toString() );
                sb.append( ""|n"" );
            }
        }
    }
    return sb.toString();
} 
"
49121415,createDataset,creates a sample dataset," creates a dataset for the dataset ","

private XYDataset createDataset( double[] values, String name ) {
    // create dataset 1
    final XYSeries series = new XYSeries( name );
        
    for( int i = 0; i<values.length; i++ ){
        series.add( i, values[ i ] );
    }  
    final XYSeriesCollection collection = new XYSeriesCollection();
    collection.addSeries( series );
    return collection;
} 
"
34426938,initOptionsMenu,initiates and populates the options menu," initializes the options menu ","

private void initOptionsMenu( JMenuBar bar ) {
    optionsMenu = new JMenu( ""Options"" );
    optionsMenu.setToolTipText( ""Options for SWGAide"" );
    optionsMenu.setMnemonic( KeyEvent.VK_O );

    optionsMenu.add( optionsSWGCraftMenuItem() );
    optionsMenu.setEnabled( true );
    bar.add( optionsMenu );
} 
"
45888514,openCursor,opens cursor with custom selection," opens a cursor to the specified source ","

public Cursor openCursor( Context context, String selection, String[] selectionArgs ) {
    if( mSourcesUri == null ) {
        throw new NullPointerException( ""Sources uri not set."" );
    }
    return context.getContentResolver().query( mSourcesUri, mProjection, selection, selectionArgs, Sources.SourcesTable.NAME );
} 
"
29572299,listen,starts the server blocks indefinately," listens for incoming connections ","

public void listen() throws IOException {
    logMessage( ""Server started at "" + this.getHostname() + "":"" + this.getPort() );
    while ( true ) {
        Socket socket = serverSocket.accept();
        logMessage( socket.getInetAddress().getCanonicalHostName() + ""has made a connection !"" );
        logMessage( ""Creating new listener"" );
        ListenThread task = new ListenThread( socket, this );
        logMessage( ""Adding new totemcontrolcomhandler"" );
        addHandlers( task );
        Thread listener = new Thread( task );
        logMessage( ""Starting new thread"" );
        listener.run();
    }
} 
"
51019251,fScore,hierarchical f score function," returns the score of a given concept ","

public double fScore( ONDEXConcept x, ONDEXConcept y ) {
    double recall = recall( x, y );
    double precision = precision( x, y );
    double score = 0;
    if ( recall + precision != 0 ) {
        score = ( 2d * recall * precision ) / ( recall + precision );
    }
    return score;
} 
"
28631042,getMenuAdministracion,this method initializes menu administracion," this method initializes menu <UNK> ","

private JMenu getMenuAdministracion() {
    if ( menuAdministracion == null ) {
        menuAdministracion = new JMenu();
        menuAdministracion.setText( Messages.getString( ""gui.GUI.57"" )); //$NON-NLS-1$
        menuAdministracion.setIcon( new ImageIcon( ""data/icons/package_system.png"" )); //$NON-NLS-1$
        menuAdministracion.add( getMenuItemAdminUsuarios() );
        menuAdministracion.add( getMenuItemAdminResorces() );
    }
    return menuAdministracion;
} 
"
